City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
61,Turbat,PK,70.86,clear sky,26.0023,63.044,Mubashar Quarters
64,Puerto Ayora,EC,68.31,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
65,Umm Lajj,SA,74.8,clear sky,25.0213,37.2685,Moon light Furnished Units
67,Buala,SB,82.98,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
68,Kalmunai,LK,81.97,clear sky,7.4167,81.8167,VS Villa
69,Faanui,PF,81.05,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
76,Comodoro Rivadavia,AR,69.31,scattered clouds,-45.8667,-67.5,Austral Hotel
78,Cabo San Lucas,MX,77.5,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
79,Manokwari,ID,82.62,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
82,Jitra,MY,84.58,scattered clouds,6.2681,100.4217,Hotel Darulaman
90,Chanika,TZ,68.13,overcast clouds,-5.4167,38.0167,New Rombo Green Hotel
95,San Felipe,VE,72.97,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
99,Tucupita,VE,71.51,scattered clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
100,Axim,GH,78.35,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
109,Victoria,HK,71.65,overcast clouds,22.2855,114.1577,Mini Hotel Central
110,Gaoual,GN,71.56,few clouds,11.75,-13.2,Hotel koliba
111,Bontang,ID,81.95,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
115,Casambalangan,PH,74.01,overcast clouds,18.3765,122.1274,Villa Saturnina
116,Puri,IN,72.37,heavy intensity rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
119,Mahebourg,MU,81.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
120,Dwarka,IN,76.91,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
121,Port Lincoln,AU,65.23,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
127,Carutapera,BR,76.84,broken clouds,-1.195,-46.02,Lidera
128,Saint-Philippe,RE,83.21,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
132,East London,ZA,69.33,light rain,-33.0153,27.9116,Tu Casa
134,Banda Aceh,ID,84.11,scattered clouds,5.5577,95.3222,Sulthan Hotel International
135,Hobart,AU,76.01,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
139,Ipixuna,BR,78.75,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
143,Kapaa,US,68.32,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
145,Hobyo,SO,78.82,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
148,Harper,LR,78.84,broken clouds,4.375,-7.7169,Screensaver
150,Souillac,MU,81.36,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
152,Morondava,MG,81.27,few clouds,-20.2833,44.2833,La Case Bambou
158,Acajutla,SV,79.9,few clouds,13.5928,-89.8275,asi es
159,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
