City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Pietersburg,ZA,-23.9045,29.4688,50.4,78,93,7.14,overcast clouds
308,Ishigaki,JP,24.3448,124.1572,70.27,59,14,14.47,few clouds
309,Antalaha,MG,-14.9003,50.2788,78.13,76,20,5.35,few clouds
310,Phan Thiet,VN,10.9333,108.1,79.77,61,48,2.89,scattered clouds
311,Vila Velha,BR,-20.3297,-40.2925,71.94,91,75,2.3,broken clouds
312,Koumac,NC,-20.5667,164.2833,82.72,67,36,4.94,scattered clouds
313,Port Blair,IN,11.6667,92.75,82.42,69,68,12.41,broken clouds
314,Mount Isa,AU,-20.7333,139.5,101.97,16,8,13.8,clear sky
315,Talnakh,RU,69.4865,88.3972,-29.79,98,100,7.54,overcast clouds
316,Boa Vista,BR,2.8197,-60.6733,80.58,69,0,10.36,clear sky
317,Komyshnya,UA,50.1859,33.684,26.89,84,65,5.1,broken clouds
318,Helena,US,46.5927,-112.0361,44.31,66,75,7.0,broken clouds
319,Asau,RO,46.4333,26.4,30.96,82,100,4.41,overcast clouds
320,Shimoda,JP,34.6667,138.95,49.1,65,89,13.51,overcast clouds
321,Kuah,MY,6.3265,99.8432,81.88,70,43,18.86,scattered clouds
322,Golkoy,TR,40.6875,37.6178,47.61,60,97,7.94,overcast clouds
323,Herat,AF,34.5,62.0,40.95,69,3,3.62,clear sky
324,Kpandu,GH,6.9954,0.2931,76.64,85,100,4.79,overcast clouds
325,Tucuma,BR,-0.1833,-50.05,76.05,93,80,4.56,broken clouds
326,Myitkyina,MM,25.3833,97.4,76.73,50,69,0.81,broken clouds
327,Mandal,IN,25.45,74.5667,66.7,60,96,4.43,overcast clouds
328,Sao Sepe,BR,-30.1606,-53.5653,65.32,90,35,6.96,scattered clouds
329,Karema,TZ,-6.8205,30.4389,73.42,63,60,4.18,broken clouds
330,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,40,40,17.9,scattered clouds
331,Guiyang,CN,26.5833,106.7167,58.5,53,72,3.91,broken clouds
332,Zaraza,VE,9.3503,-65.3245,73.22,91,66,4.85,broken clouds
333,Sinnamary,GF,5.3833,-52.95,76.57,91,100,7.78,overcast clouds
334,Ocampo,MX,21.65,-101.5,51.55,53,51,7.87,broken clouds
335,Sisimiut,GL,66.9395,-53.6735,37.29,43,100,27.02,overcast clouds
